frame,time,full_rmsd,group0,group1,group2,group3,group4,group5
0.0,0.0,1.2896030498176827e-06,0.0,0.0,0.0,0.0,0.0,1.193983607077363e-07
1.0,100.0,1.1997966161637352,1.1772519268831696,1.0917761237343035,1.2318108221079982,1.101301877609111,1.0003406834312625,1.1997966516496645
2.0,200.0,1.3574386450667402,1.2994531324146934,1.2301947057943259,1.647702252974013,1.4245893353978816,0.9833534295360222,1.3574386787123278
3.0,300.0,1.347700996981965,1.5084964792883715,1.154633698830388,1.500847516759359,1.1650681350747056,0.871009602940977,1.34770102359429
4.0,400.0,1.4209379776838589,1.3981255700157276,1.0541885902532273,1.628193482291491,1.7287680565778223,0.759876312116789,1.4209380237526823
5.0,500.0,1.3573257859389731,1.2770616165917414,1.2708414494322737,1.7759810963490406,1.6320728489794567,0.8818869388144686,1.357325863597772
6.0,600.0,1.40780623298743,1.4958150718671086,1.174831301061092,1.5839821854086271,1.57793971579963,0.9768780077356289,1.4078062811878187
7.0,700.0,1.5031817294956211,1.5051788858950557,1.3078799654242532,1.793430773341751,1.3893286209434488,1.022702548164736,1.50318174949732
8.0,800.0,1.4606555867702424,1.3521862150199937,1.4178563264398099,1.482971903779133,1.1705150487428153,1.2399790848771197,1.4606556179198125
9.0,900.0,1.4489325382108464,1.3696029516272739,1.2678215954022063,1.1582372459987231,1.0385107411564252,1.080962436798778,1.4489325778464481
10.0,1000.0,1.4604040301094359,1.4628833351283241,1.1883060525478393,1.0476318668478564,1.2419246290804575,1.0145136072283925,1.4604040647831094
11.0,1100.0,1.5567432937850725,1.581464673193993,1.3970085604994837,1.4554911130900576,1.1378275150521766,1.1257966831043094,1.556743346275326
12.0,1200.0,1.4739251164142129,1.4211467696682711,1.1735095970216292,1.210003771099026,1.4378450709642854,1.1883702593990222,1.473925165699835
13.0,1300.0,1.4933282103662924,1.4216954329589586,1.3981022471320945,1.6847750872895666,1.4488471408769046,1.111019184501567,1.4933282569532573
14.0,1400.0,1.6091165613446718,1.4174350552728237,1.5027801232612157,1.2680088315729396,1.7733130058270241,1.119433101904175,1.609116575769569
15.0,1500.0,1.6598243331648235,1.5698844057897625,1.615329931056219,1.430190699883314,1.4615767592463869,1.0621956199576768,1.6598243836705604
16.0,1600.0,1.5822423195171254,1.5619118601549085,1.4568885054458018,1.7139387665340045,1.5247160822641173,1.3239650902593203,1.5822423719065521
17.0,1700.0,1.572953295953744,1.5123599159398338,1.4842809810101354,1.4065740150865957,1.331116604881801,1.127050663106828,1.572953339645895
18.0,1800.0,1.6473438143823436,1.4658709381857258,1.580548033000851,1.597814552019728,1.621811813731979,1.1744407827168,1.6473438860225746
19.0,1900.0,1.521683399751173,1.4106076324312908,1.2771486392213338,1.461328913760883,1.3329895440639583,1.0972953640642271,1.5216834103361692
20.0,2000.0,1.5679954573104178,1.4836475632363155,1.377194440876927,1.616092492078367,1.7443000253003715,1.019548170643212,1.5679954671810592
